ID,Name,Type,Price,ReviewsCount,Rating,City,State
0,BUNK Hotel Amsterdam,Bunk Pod for 2,86.76,778,8.4,Amsterdam Noord, Amsterdam
1,YOTEL Amsterdam,Premium Double Room,167.94,500,8.1,Amsterdam Noord, Amsterdam
2,Multatuli Hotel,Double Room,143.69,1605,7.4,Amsterdam City Center, Amsterdam
3,nhow Amsterdam Rai,nhow Double or Twin Room with View,141.39,500,9.0,Zuideramstel, Amsterdam
4,Motel One Amsterdam,Double Room,104.18,500,8.8,Zuideramstel, Amsterdam
5,INNSiDE by Meliá Amsterdam,The Innside Guestroom,155.35,1264,8.4,Zuideramstel, Amsterdam
6,Eden Hotel Amsterdam,Small Double Room,220.66,500,8.3,Amsterdam City Center, Amsterdam
7,citizenM Amsterdam South,King Room,156.27,500,8.8,Zuideramstel, Amsterdam
8,The Alfred Hotel,Standard Double Room,139.21,2069,7.3,Oud Zuid, Amsterdam
9,Andaz Amsterdam Prinsengracht - a concept by Hyatt,Observatory King,495.42,1140,8.9,Amsterdam City Center, Amsterdam
10,Hyatt Regency Amsterdam,Twin Room,343.51,500,8.5,Amsterdam City Center, Amsterdam
11,NH Collection Amsterdam Flower Market,Superior Double or Twin Room,323.30,500,8.6,Amsterdam City Center, Amsterdam
12,ibis Styles Amsterdam Central Station,Small Double Room,195.78,500,7.9,Amsterdam City Center, Amsterdam
13,Leonardo Royal Hotel Amsterdam,Queen Room - Disability Access,124.70,500,8.5,Oost, Amsterdam
14,Rho Hotel,Standard Double or Twin Room,206.56,2974,8.0,Amsterdam City Center, Amsterdam
15,Leonardo Boutique Museumhotel,Double or Twin Room,168.93,500,7.9,Oud Zuid, Amsterdam
16,Hotel V Nesplein,Comfort Double or Twin Room,241.09,1278,8.9,Amsterdam City Center, Amsterdam
17,"Kimpton De Witt Amsterdam, an IHG Hotel",1 Queen or King Bed Essential Room,380.79,500,8.8,Amsterdam City Center, Amsterdam
18,Qbic Hotel WTC Amsterdam,Standard Double Room - No Window,88.91,500,7.9,Zuideramstel, Amsterdam
19,Hotel Espresso,Small Double Room,142.91,1935,7.8,Oud West, Amsterdam
20,Hotel Central Park,Double Room,74.73,518,6.8,Oud Zuid, Amsterdam
21,The White Tulip Hostel,Standard Twin Bunk with Shared Bathroom,134.71,2064,7.0,Amsterdam City Center, Amsterdam
22,Swissôtel Amsterdam,Classic Double Room,233.15,1629,8.6,Amsterdam City Center, Amsterdam
23,"Holiday Inn Express Amsterdam - City Hall, an IHG Hotel",Double Room,190.39,500,8.4,Amsterdam City Center, Amsterdam
24,Hotel Atlantis Amsterdam,Twin Room,101.52,1783,7.4,Oud Zuid, Amsterdam
25,Holiday Home Green Resort Mooi Bemelen-19,Holiday Home,230.80,1,10.0,Bemelen,Limburg
26,Holiday Home Green Resort Mooi Bemelen-2,Holiday Home,291.87,1,9.6,Bemelen,Limburg
27,Holiday Home Green Resort Mooi Bemelen-12,Holiday Home,230.80,2,9.0,Bemelen,Limburg
28,Holiday Home Green Resort Mooi Bemelen-31,Holiday Home,230.80,1,9.0,Bemelen,Limburg
29,Holiday Home Green Resort Mooi Bemelen-15,Holiday Home,230.80,1,9.0,Bemelen,Limburg
30,Holiday Home Green Resort Mooi Bemelen-10,Holiday Home,311.63,1,9.0,Bemelen,Limburg
31,Holiday Home Green Resort Mooi Bemelen-13,Holiday Home,311.63,1,9.0,Bemelen,Limburg
32,Holiday Home Green Resort Mooi Bemelen-16,Holiday Home,311.63,4,8.5,Bemelen,Limburg
33,Resort Mooi Bemelen,Two-Bedroom House,130.22,1155,8.1,Bemelen,Limburg
34,Holiday Home Green Resort Mooi Bemelen-6,Holiday Home,230.80,18,8.1,Bemelen,Limburg
35,Holiday Home Green Resort Mooi Bemelen-3,Holiday Home,230.80,5,8.1,Bemelen,Limburg
36,Holiday Home Green Resort Mooi Bemelen-17,Holiday Home,230.80,18,8.1,Bemelen,Limburg
37,Holiday Home Green Resort Mooi Bemelen-21,Holiday Home,230.80,40,8.1,Bemelen,Limburg
38,Holiday Home Green Resort Mooi Bemelen-10,Holiday Home,230.80,18,8.1,Bemelen,Limburg
39,Holiday Home Green Resort Mooi Bemelen-4,Holiday Home,230.80,1,8.0,Bemelen,Limburg
40,Holiday Home Green Resort Mooi Bemelen-11,Holiday Home,230.80,18,8.1,Bemelen,Limburg
41,Holiday Home Green Resort Mooi Bemelen-32,Holiday Home,230.80,1,8.0,Bemelen,Limburg
42,Holiday Home Green Resort Mooi Bemelen-33,Holiday Home,230.80,1,8.0,Bemelen,Limburg
43,Holiday Home Green Resort Mooi Bemelen-20,Holiday Home,230.80,18,8.1,Bemelen,Limburg
44,Holiday Home Green Resort Mooi Bemelen-18,Holiday Home,230.80,18,8.1,Bemelen,Limburg
45,Holiday Home Green Resort Mooi Bemelen-14,Holiday Home,230.80,18,8.1,Bemelen,Limburg
46,Holiday Home Green Resort Mooi Bemelen-5,Holiday Home,291.87,19,8.1,Bemelen,Limburg
47,Holiday Home Green Resort Mooi Bemelen-3,Holiday Home,291.87,18,8.0,Bemelen,Limburg
48,Holiday Home Green Resort Mooi Bemelen-7,Holiday Home,311.63,3,8.0,Bemelen,Limburg
49,Holiday Home Green Resort Mooi Bemelen-12,Holiday Home,311.63,1,8.0,Bemelen,Limburg
50,Anja's House,Double Room with Shared Bathroom,78.50,88,9.2,Breda,North Brabant
51,B&B de Druif,Two-Bedroom Apartment,86.76,36,9.1,Breda,North Brabant
